" ",A10S5LDYYYB496,A1FGKIKJYSL1MI,A1LLT1N2U68K50,A1OYYWJ2B7OQTD,A1SVJRX4L97NMC,A1X9N8X97XUAYK,A21EHZ39CBILE,A2B1YSMEHN1G2K,A2GXPU7NQ4A8ZY,A2QGTGDZM7Q7RL,A2ZJOFTSMRNV9I,A35T0N6XN4KLEM,A3BL2ZEODD79AZ,A3CF8ULBSE8MTL,A3GXL3FJ42JPS8,A3TQKAOIJSPPRB,A3UDQWDFLCD7AV,A3V2MCIYI0PP1C,A8GWYS9O8FUEK,A9EQ4FWCUQVBL,AJE0K0QN4T6F0,AQ659QYKHBBDI,AUBATPCNW35B9,AWJ3J10LYEFE
7638699_05,-,-,Premise-I,Premise-I,-,-,-,Premise-I,-,-,Premise-B,-,O,O,-,O,-,-,-,-,Premise-I,-,-,Premise-B
8062872_00,-,-,O,Premise-B,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
8062872_01,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
8062872_02,-,-,O,Premise-B,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
8062872_03,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
8062872_04,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,Premise-B,-
8062872_05,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,Premise-I,-
8062872_06,-,-,O,Premise-B,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,Premise-I,-
8062872_07,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,Premise-I,-
8062872_08,-,-,O,Premise-B,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,Premise-I,-
8062872_09,-,-,Premise-B,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
8062872_10,-,-,Premise-I,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
8062872_11,-,-,O,Premise-I,-,-,-,Premise-B,-,O,-,-,-,O,Premise-B,O,-,-,-,O,-,-,Premise-B,-
8062872_12,-,-,Premise-B,Premise-I,-,-,-,Premise-I,-,Premise-B,-,-,-,O,Premise-I,O,-,-,-,O,-,-,Premise-I,-
8062872_13,-,-,Premise-I,Premise-I,-,-,-,Premise-I,-,Premise-I,-,-,-,O,Premise-I,O,-,-,-,O,-,-,Premise-I,-
8062872_14,-,-,Premise-I,Premise-I,-,-,-,Premise-I,-,Premise-I,-,-,-,O,Premise-I,O,-,-,-,O,-,-,Premise-I,-
8062872_15,-,-,Premise-I,Premise-I,-,-,-,Premise-I,-,Premise-I,-,-,-,Premise-B,Premise-I,O,-,-,-,O,-,-,Premise-I,-
8062872_16,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,Premise-I,Premise-B,-,-,-,O,-,-,O,-
8062872_17,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,Premise-I,Premise-I,-,-,-,O,-,-,O,-
8834046_00,O,-,O,Premise-B,-,O,-,-,-,-,-,-,-,O,O,Premise-B,-,-,-,O,-,-,-,O
8834046_01,O,-,O,Premise-I,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
8834046_02,O,-,O,O,-,O,-,-,-,-,-,-,-,Premise-B,O,Premise-B,-,-,-,O,-,-,-,O
8834046_03,O,-,O,O,-,O,-,-,-,-,-,-,-,Premise-I,Premise-B,Premise-I,-,-,-,O,-,-,-,O
8834046_04,O,-,O,O,-,O,-,-,-,-,-,-,-,O,Premise-I,Premise-I,-,-,-,O,-,-,-,O
8834046_05,O,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
8834046_06,O,-,Premise-B,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
8834046_07,O,-,O,O,-,O,-,-,-,-,-,-,-,O,O,O,-,-,-,O,-,-,-,O
9307874_00,Premise-B,Premise-B,Premise-B,Premise-B,-,-,-,Premise-B,-,-,O,-,-,Premise-B,Premise-B,-,-,-,O,-,-,-,-,-
9307874_01,O,Premise-I,O,Premise-I,-,-,-,Premise-I,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
9307874_02,Premise-B,Premise-I,Premise-B,Premise-I,-,-,-,O,-,-,Premise-B,-,-,Premise-B,O,-,-,-,O,-,-,-,-,-
9307874_03,Premise-B,Premise-I,O,Premise-I,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
9307874_04,Premise-B,Premise-I,O,Premise-I,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
9307874_05,Premise-B,O,Premise-B,Premise-I,-,-,-,O,-,-,O,-,-,Premise-B,O,-,-,-,Premise-B,-,-,-,-,-
9307874_06,Premise-I,O,Premise-I,Premise-I,-,-,-,O,-,-,O,-,-,Premise-I,O,-,-,-,Premise-I,-,-,-,-,-
9307874_07,Premise-I,O,Premise-I,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,Premise-B,-,-,-,-,-
9307874_08,Premise-I,O,Premise-I,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,Premise-B,-,-,-,-,-
9841537_00,-,-,O,O,-,-,-,O,-,-,O,-,O,O,-,Premise-B,-,-,-,-,O,-,-,O
9841537_01,-,-,Premise-B,Premise-B,-,-,-,Premise-B,-,-,O,-,O,Premise-B,-,Premise-I,-,-,-,-,O,-,-,O
9841537_02,-,-,O,O,-,-,-,O,-,-,O,-,O,O,-,O,-,-,-,-,O,-,-,O
9841537_03,-,-,O,O,-,-,-,O,-,-,O,-,O,O,-,O,-,-,-,-,O,-,-,O
9841537_04,-,-,O,O,-,-,-,O,-,-,O,-,O,O,-,O,-,-,-,-,O,-,-,O
9841537_05,-,-,O,O,-,-,-,O,-,-,O,-,O,O,-,O,-,-,-,-,O,-,-,O
9841537_06,-,-,O,O,-,-,-,O,-,-,O,-,O,O,-,Premise-B,-,-,-,-,Premise-B,-,-,O
9841537_07,-,-,O,Premise-B,-,-,-,Premise-B,-,-,O,-,Premise-B,Premise-B,-,O,-,-,-,-,Premise-I,-,-,O
9841537_08,-,-,O,Premise-B,-,-,-,Premise-B,-,-,O,-,Premise-B,Premise-B,-,O,-,-,-,-,Premise-I,-,-,O
9841537_09,-,-,Premise-B,Premise-B,-,-,-,Premise-I,-,-,Premise-B,-,Premise-B,Premise-I,-,O,-,-,-,-,Premise-I,-,-,O
